courseTitle,coursePopularity,courseDifficulty
Web Scraping with Python + BeautifulSoup,4.2k,Intermediate
Data Analytics:  Scraping Data using Hadley Wickam's Rvest package in R,2k,Intermediate
Python for Everybody,2.2m,Beginner
Using Python to Access Web Data,460k,Mixed
Introduction to Scripting in Python,92k,Beginner
Data Mining,170k,Intermediate
"Capstone: Retrieving, Processing, and Visualizing Data with Python",180k,Mixed
Introduction to Git and GitHub,86k,Beginner
Getting and Cleaning Data,180k,Mixed
Social Media Data Analytics,29k,Intermediate
